"PEP","ADP","Pyr","ATP","F16BP","V(umol/min/mg)"
1,0.5,0,0,0,0.7020678902966767
1,0.5,1,0,0,0.7437536674531345
1,0.5,2.5,0,0,0.7016259343004975
1,0.5,5,0,0,0.6943116084486912
1,0.5,10,0,0,0.6358425280657134
1,0.5,50,0,0,0.5329381069777006
1,0.5,25,0,0,0.6466262605179683
1,0.5,100,0,0,0.43842130595388384
