"PEP","ADP","Pyr","ATP","F16BP","V(umol/min/mg)"
0,5,0,0,0,0.11129889448194642
0.1,5,0,0,0,0.17249583744611371
0.2,5,0,0,0,0.35969868993460835
0.4,5,0,0,0,0.40980224965525713
0.5,5,0,0,0,0.5972543735851162
0.75,5,0,0,0,0.8283289997593093
1,5,0,0,0,0.8576931755557425
2,5,0,0,0,1.3034902213485386
